InicioPeriodo,FimPeriodo,Segmento,Modalidade,Posicao,InstituicaoFinanceira,TaxaJurosAoMes,TaxaJurosAoAno
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,6,BCO XP S.A.,5.08,81.21
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,7,BCO XP S.A.,5.08,81.15
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,5,BCO XP S.A.,5.08,81.27
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,7,BCO XP S.A.,5.11,81.81
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,7,BCO XP S.A.,5.11,81.81
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,11,BCO DO EST. DO PA S.A.,5.12,81.97
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,7,BCO MERCANTIL DO BRASIL S.A.,5.12,81.97
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,5,BCO XP S.A.,5.12,82.15
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,11,HS FINANCEIRA,5.13,82.28
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,9,KREDILIG S.A. - CFI,5.14,82.39
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,9,BCO AGIBANK S.A.,5.23,84.34
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,10,BANCO BARI S.A.,5.24,84.66
2023-01-11,2023-01-17,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,6,BCO DAYCOVAL S.A,5.26,85.04
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,10,BCO BMG S.A.,5.26,84.94
2023-01-11,2023-01-17,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,9,BANCO ORIGINAL,5.27,85.2
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,11,BANCO ORIGINAL,5.28,85.39
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,9,BCO DAYCOVAL S.A,5.28,85.46
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,10,KREDILIG S.A. - CFI,5.28,85.51
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,11,BANCO ORIGINAL,5.28,85.35
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,BCO DAYCOVAL S.A,5.31,86.01
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,BCO DO EST. DO PA S.A.,5.31,85.99
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,11,BCO DO EST. DO PA S.A.,5.31,85.99
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,6,BCO DAYCOVAL S.A,5.32,86.36
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,BCO DAYCOVAL S.A,5.32,86.16
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,HS FINANCEIRA,5.33,86.45
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,HS FINANCEIRA,5.34,86.72
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,10,BANCO ORIGINAL,5.36,87.12
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,7,BANCO SICOOB S.A.,5.36,87.11
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,7,BCO MERCANTIL DO BRASIL S.A.,5.36,87.16
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,VIA CERTA FINANCIADORA S.A. - CFI,5.4,87.88
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,VIA CERTA FINANCIADORA S.A. - CFI,5.41,88.1
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,KREDILIG S.A. - CFI,5.48,89.64
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,7,BCO SENFF S.A.,5.54,91.02
2023-01-13,2023-01-19,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,BANCO ORIGINAL,5.55,91.16
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,8,BCO SENFF S.A.,5.56,91.35
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,9,HS FINANCEIRA,5.57,91.55
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,BCO DAYCOVAL S.A,5.57,91.65
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,BANCO SICOOB S.A.,5.58,91.77
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,BRB - BCO DE BRASILIA S.A.,5.59,92.1
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,BANCO BARI S.A.,5.6,92.32
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,HS FINANCEIRA,5.63,93.02
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,KREDILIG S.A. - CFI,5.64,93.21
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,BRB - BCO DE BRASILIA S.A.,5.66,93.58
2023-01-03,2023-01-09,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,BANCO SICOOB S.A.,5.68,94.03
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,BANCO SICOOB S.A.,5.68,94.03
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,KREDILIG S.A. - CFI,5.69,94.22
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,BANCO SICOOB S.A.,5.71,94.61
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,8,BCO BMG S.A.,5.72,94.94
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,8,BCO BMG S.A.,5.72,94.87
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,8,BCO BRADESCO S.A.,5.73,95.18
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,BANCO ORIGINAL,5.74,95.38
2023-01-10,2023-01-16,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,7,HS FINANCEIRA,5.75,95.61
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,8,HS FINANCEIRA,5.76,95.76
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BANCO ORIGINAL,5.76,95.81
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,BCO BMG S.A.,5.76,95.83
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,10,HS FINANCEIRA,5.77,96.13
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,KREDILIG S.A. - CFI,5.82,97.24
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,BANCO BARI S.A.,5.82,97.24
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,7,BCO MERCANTIL DO BRASIL S.A.,5.82,97.1
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,9,BANCO SICOOB S.A.,5.83,97.3
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,9,HS FINANCEIRA,5.83,97.43
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BCO BRADESCO S.A.,5.86,98.11
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,10,BCO AGIBANK S.A.,5.87,98.34
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,7,BANCO BARI S.A.,5.89,98.69
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,6,BANCO BARI S.A.,5.89,98.69
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,6,BANCO BARI S.A.,5.89,98.69
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,6,BCO MERCANTIL DO BRASIL S.A.,5.89,98.69
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,VIA CERTA FINANCIADORA S.A. - CFI,5.9,98.97
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,8,BANCO BARI S.A.,5.91,99.22
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,BCO BRADESCO S.A.,5.91,99.12
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,8,BANCO BARI S.A.,5.91,99.22
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,8,BANCO BARI S.A.,5.93,99.56
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,8,BANCO BARI S.A.,5.93,99.56
2023-01-03,2023-01-09,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,BCO BRADESCO S.A.,5.94,99.76
2023-01-03,2023-01-09,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,KREDILIG S.A. - CFI,5.95,100.1
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,10,BCO AGIBANK S.A.,5.96,100.33
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,11,BANCO ORIGINAL,5.99,101.01
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,BANCO BARI S.A.,5.99,101.05
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BANCO SICOOB S.A.,6.03,101.89
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,BANCO BARI S.A.,6.04,102.17
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,11,BANCO SICOOB S.A.,6.05,102.46
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,11,BANCO SICOOB S.A.,6.05,102.46
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,BANCO ORIGINAL,6.05,102.37
2023-01-10,2023-01-16,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,8,BCO BMG S.A.,6.06,102.54
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,10,BCO BMG S.A.,6.08,102.93
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BANCO SICOOB S.A.,6.11,103.67
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BCO MERCANTIL DO BRASIL S.A.,6.13,104.22
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,VIA CERTA FINANCIADORA S.A. - CFI,6.13,104.14
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,BANCO SICOOB S.A.,6.14,104.48
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,BCO AGIBANK S.A.,6.17,105.07
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BCO MERCANTIL DO BRASIL S.A.,6.18,105.36
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BANCO BTG PACTUAL S.A.,6.19,105.63
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,BCO BMG S.A.,6.2,105.72
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,VIA CERTA FINANCIADORA S.A. - CFI,6.21,106.01
2023-01-10,2023-01-16,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,9,BCO SENFF S.A.,6.21,106.09
2023-01-11,2023-01-17,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,10,BCO SENFF S.A.,6.24,106.74
2023-01-13,2023-01-19,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,KREDILIG S.A. - CFI,6.26,107.24
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,BCO TRIANGULO S.A.,6.26,107.15
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,17,BCO MERCANTIL DO BRASIL S.A.,6.26,107.24
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,11,KREDILIG S.A. - CFI,6.27,107.55
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,KREDILIG S.A. - CFI,6.28,107.66
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,6,BANCO BARI S.A.,6.29,107.99
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,17,BCO MERCANTIL DO BRASIL S.A.,6.31,108.33
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,KREDILIG S.A. - CFI,6.32,108.59
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,BANCO ORIGINAL,6.33,108.77
2023-01-10,2023-01-16,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,10,BANCO SICOOB S.A.,6.34,109.01
2023-01-03,2023-01-09,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,6,BANCO BARI S.A.,6.35,109.28
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,17,BCO MERCANTIL DO BRASIL S.A.,6.35,109.45
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,BANCO SICOOB S.A.,6.35,109.29
2023-01-11,2023-01-17,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,11,KREDILIG S.A. - CFI,6.35,109.31
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,VIA CERTA FINANCIADORA S.A. - CFI,6.36,109.53
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,8,BANCO BARI S.A.,6.36,109.51
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,11,BANCO ORIGINAL,6.37,109.78
2023-01-11,2023-01-17,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,BANCO BTG PACTUAL S.A.,6.37,109.79
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,17,BCO TRIANGULO S.A.,6.39,110.24
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BANCO SICOOB S.A.,6.4,110.58
2023-01-10,2023-01-16,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,11,BANCO BTG PACTUAL S.A.,6.4,110.45
2023-01-13,2023-01-19,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BANCO SICOOB S.A.,6.41,110.76
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,VIA CERTA FINANCIADORA S.A. - CFI,6.42,111.1
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,KREDILIG S.A. - CFI,6.43,111.14
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,17,BANCO BARI S.A.,6.43,111.2
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,BANCO BTG PACTUAL S.A.,6.43,111.31
2023-01-11,2023-01-17,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,BANCO SICOOB S.A.,6.43,111.27
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,18,BCO MERCANTIL DO BRASIL S.A.,6.44,111.58
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,KREDILIG S.A. - CFI,6.45,111.65
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,17,VIA CERTA FINANCIADORA S.A. - CFI,6.46,111.88
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,BANCO SICOOB S.A.,6.46,111.88
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,KREDILIG S.A. - CFI,6.48,112.45
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,BANCO ORIGINAL,6.48,112.48
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,BCO SENFF S.A.,6.5,112.82
2023-01-13,2023-01-19,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,BANCO BTG PACTUAL S.A.,6.54,113.8
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,17,BANCO BRADESCARD,6.55,114.07
2023-01-10,2023-01-16,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,12,KREDILIG S.A. - CFI,6.56,114.43
2023-01-11,2023-01-17,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,BANCO BARI S.A.,6.57,114.69
2023-01-13,2023-01-19,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,6,BCO MERCANTIL DO BRASIL S.A.,6.58,114.76
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,BANCO BTG PACTUAL S.A.,6.61,115.46
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,BANCO BTG PACTUAL S.A.,6.63,115.95
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,17,BCO TRIANGULO S.A.,6.64,116.31
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,18,BANCO ORIGINAL,6.65,116.65
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,BANCO BTG PACTUAL S.A.,6.67,117.08
2023-01-03,2023-01-09,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BANCO BTG PACTUAL S.A.,6.69,117.54
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,18,BCO TRIANGULO S.A.,6.69,117.4
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,19,BCO TRIANGULO S.A.,6.7,117.63
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BANCO BTG PACTUAL S.A.,6.71,118.09
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,18,BCO TRIANGULO S.A.,6.71,118.09
2023-01-02,2023-01-06,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,19,BCO MERCANTIL DO BRASIL S.A.,6.72,118.27
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,BCO MERCANTIL DO BRASIL S.A.,6.74,118.66
2023-01-03,2023-01-09,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,BCO MERCANTIL DO BRASIL S.A.,6.74,118.66
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,17,BCO TRIANGULO S.A.,6.74,118.64
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BANCO BTG PACTUAL S.A.,6.75,119.0
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,19,BCO TRIANGULO S.A.,6.77,119.44
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,18,BCO TRIANGULO S.A.,6.78,119.79
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,BCO MERCANTIL DO BRASIL S.A.,6.78,119.73
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BANCO ORIGINAL,6.79,120.06
2023-01-03,2023-01-09,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,17,BCO AFINZ S.A. - BM,6.8,120.19
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,20,BCO MERCANTIL DO BRASIL S.A.,6.81,120.44
2023-01-17,2023-01-23,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,19,BANCO BTG PACTUAL S.A.,6.81,120.37
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,9,BANCO PAN,6.82,120.73
2023-01-13,2023-01-19,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,17,BCO TRIANGULO S.A.,6.83,120.95
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,18,BANCO ORIGINAL,6.84,121.28
2023-01-19,2023-01-25,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,20,BANCO BTG PACTUAL S.A.,6.87,122.02
2023-01-03,2023-01-09,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,18,VIA CERTA FINANCIADORA S.A. - CFI,6.87,121.85
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,9,BANCO PAN,6.87,121.95
2023-01-13,2023-01-19,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,18,VIA CERTA FINANCIADORA S.A. - CFI,6.88,122.09
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,20,BANCO BTG PACTUAL S.A.,6.88,122.13
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,19,BCO BRADESCO S.A.,6.92,123.3
2023-01-04,2023-01-10,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,BANCO BRADESCARD,6.93,123.56
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,18,BCO MERCANTIL DO BRASIL S.A.,6.94,123.67
2023-01-13,2023-01-19,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,19,BCO MERCANTIL DO BRASIL S.A.,6.95,124.07
2023-01-11,2023-01-17,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,7,BANCO BARI S.A.,6.95,123.85
2023-01-13,2023-01-19,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,7,BANCO BARI S.A.,6.95,123.85
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,7,BANCO BARI S.A.,6.95,123.85
2023-01-20,2023-01-26,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,20,BANCO BTG PACTUAL S.A.,6.96,124.09
2023-01-16,2023-01-20,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,19,VIA CERTA FINANCIADORA S.A. - CFI,6.97,124.49
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,17,BANCO BRADESCARD,6.97,124.54
2023-01-09,2023-01-13,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,14,BANCO BARI S.A.,6.97,124.55
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,18,BANCO BTG PACTUAL S.A.,7.01,125.56
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,18,BANCO BTG PACTUAL S.A.,7.02,125.66
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BCO TRIANGULO S.A.,7.02,125.68
2023-01-18,2023-01-24,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,21,BCO AFINZ S.A. - BM,7.03,125.96
2023-01-23,2023-01-27,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,7,BCO MERCANTIL DO BRASIL S.A.,7.04,126.15
2023-01-25,2023-01-31,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,19,BANCO BRADESCARD,7.05,126.47
2023-01-24,2023-01-30,PESSOA FÍSICA,Cartão de crédito - rotativo total - Pré-fixado,7,BCO MERCANTIL DO BRASIL S.A.,7.07,126.91
2023-01-03,2023-01-09,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,19,BANCO BRADESCARD,7.07,127.0
2023-01-11,2023-01-17,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,15,BCO MERCANTIL DO BRASIL S.A.,7.09,127.52
2023-01-05,2023-01-11,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,18,BCO TRIANGULO S.A.,7.09,127.62
2023-01-06,2023-01-12,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,BCO MERCANTIL DO BRASIL S.A.,7.1,127.79
2023-01-12,2023-01-18,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,16,VIA CERTA FINANCIADORA S.A. - CFI,7.1,127.76
2023-01-10,2023-01-16,PESSOA FÍSICA,Cartão de crédito - parcelado - Pré-fixado,13,BANCO BARI S.A.,7.11,127.99
